cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
15.272.796/0001-09,INDIVIDUAL," ","itensProposta_68b07547-a67a-409f-9a09-3c28dbd6b3cd.csv","NEW HOME COMERCIO DE MOVEIS LTDA",,," "
05.850.947/0001-05,INDIVIDUAL," ","itensProposta_52bdec8c-a537-4fcd-b4e1-e6dbca1b8ad6.csv","MARCELO GOMES & CIA LTDA",,," "
19.032.430/0001-13,INDIVIDUAL," ","itensProposta_cd0bc5a3-43d9-4746-ae26-50aedcc7af69.csv","PRINTSUL COMERCIO ATACADISTA LTDA",,," "
28.358.842/0001-39,INDIVIDUAL," ","itensProposta_420e9e76-8ed2-41a4-b222-cab9c49135f5.csv","TEDA DISTRIBUIDORA LTDA",,," "
07.796.075/0001-70,INDIVIDUAL," ","itensProposta_09d71f5c-4f95-4a1c-a0a2-084790de8258.csv","ARAUSUPRI INFORMATICA LTDA",,," "
47.206.967/0001-98,INDIVIDUAL," ","itensProposta_8042ea84-cfd5-43de-bbf7-48de6639dfbc.csv","EVL COMERCIO IMPORTACAO E EXPORTACAO LTDA",,," "
46.983.819/0001-17,INDIVIDUAL," ","itensProposta_ab05ac2f-3639-438c-b7a2-0ba7b2c44255.csv","FAZ VENDAS LTDA",,," "
51.636.946/0001-80,INDIVIDUAL," ","itensProposta_7e432df5-f08b-420c-9c33-a56c14940145.csv","JKS COMERCIAL LTDA",,," "
33.668.279/0001-35,INDIVIDUAL," ","itensProposta_2f456ee9-859c-4f69-bee1-20312f6acece.csv","COMERCIAL KS EIRELI",,," "
41.087.715/0001-00,INDIVIDUAL," ","itensProposta_48c1e209-dd46-4370-8951-f613bf6914d6.csv","EMPORIO DAS LICITACOES COMERCIO LTDA",,," "
49.464.439/0001-64,INDIVIDUAL," ","itensProposta_8dda75a7-f79e-4672-bdb2-f8361f87bb37.csv","MANOS COMERCIO ATACADISTA DE MATERIAIS LTDA",,," "
18.828.722/0001-02,INDIVIDUAL," ","itensProposta_b999b560-9363-4db6-a640-55d967102c61.csv","POLISPORT ARTIGOS ESPORTIVOS E CONFECCOES LTDA",,," "
17.063.632/0001-05,INDIVIDUAL," ","itensProposta_346e7d14-9b01-40dd-a0b9-01be910b10a7.csv","A.A. DISTRIBUIÇÃO E IMPORTAÇÃO DE ARTIGOS DE DECORAÇÃO LTDA",,," "
50.474.698/0002-36,INDIVIDUAL," ","itensProposta_71e8d033-2fff-41ec-aa57-dc0a4a517051.csv","ROYAL COMERCIO ATACADISTA LTDA",,," "
45.338.600/0001-00,INDIVIDUAL," ","itensProposta_244af07c-25a3-4cf9-8674-efcf2a993143.csv","BERTI & GARCIA MULTI-ATACADO LTDA",,," "
08.863.707/0001-33,INDIVIDUAL," ","itensProposta_b7d4ceac-e8e9-4cbf-a522-00d0f2656351.csv","PRISCILA RAUBER HENGEMUHLE",,," "
40.553.425/0001-42,INDIVIDUAL," ","itensProposta_45e9ddc6-3694-4284-99af-27416d51e1d1.csv","CAMPO ATACADO E VAREJO ESPORTIVO LTDA",,," "
28.485.774/0001-79,INDIVIDUAL," ","itensProposta_d5c1cfa5-9a6f-4d6b-aa85-6ab13d01aa60.csv","ARAUJO LICITAÇÕES LTDA",,," "
19.937.398/0001-15,INDIVIDUAL," ","itensProposta_af2dd4d2-47d8-4314-8a67-c88f0eafb256.csv","VFS COMÉRCIO E SERVIÇO LTDA",,," "
19.555.146/0001-21,INDIVIDUAL," ","itensProposta_6ec9939a-8468-4f3e-bb2a-1eaca90f7a5e.csv","2B DISTRIBUIDORA LTDA",,," "
11.205.139/0001-98,INDIVIDUAL," ","itensProposta_b1cc2c21-4611-4d25-bb86-67d19cf5b927.csv","ESSENCIA COSMETICOS E ACESSORIOS LTDA.",,," "
32.111.081/0001-93,INDIVIDUAL," ","itensProposta_11b65226-1e4a-40fc-8da8-f53ad1b05e39.csv","ANDRE MATIAS 01018656944",,," "
39.639.898/0001-88,INDIVIDUAL," ","itensProposta_f0823d50-96df-4ab1-b822-cb0b900e250f.csv","B.A EDITORA LTDA",,," "
